Lag,F,p
1,0.4665623454909165,0.4949045312450109
2,0.7058776496834074,0.49419329941985923
3,0.96319338247507,0.40988905777240103
4,0.6783126173717895,0.6072583683503361
5,0.5976770177531473,0.7017719518934965
6,0.5645774297887393,0.7585837621226892
7,0.4836395619104792,0.8465925800177853
8,0.6275623223339982,0.7548127361503383
9,0.6520957866662379,0.7522534009941799
10,1.0768711383383343,0.3784460993280822
11,1.0389015421859442,0.41059827432296164
12,1.0366207090348554,0.41365920232982734
13,0.959470366363652,0.4909255412935992
14,1.01858834079784,0.43314812802141056
15,0.937960856902199,0.5215612112784527
16,0.8880811082175166,0.5833878077627935
17,0.8167764549987417,0.6739821501632015
18,0.7685214657970857,0.7376857208600869
19,0.8597836258921433,0.6339408136715952
20,0.8203554519995455,0.689166413925892
