Lag,F,p
1,0.10443798616489103,0.7467091320746762
2,0.11999465366541073,0.8869521119831879
3,0.17849611817827046,0.9109695560285684
4,0.21214998251671283,0.9316718262698366
5,0.2525893043633849,0.9384617494244695
6,0.7757705700085775,0.5892437684776585
7,0.6888676389673101,0.6815553086142447
8,1.0577361583389548,0.39177418472463477
9,1.0231674217352944,0.42025471004174625
10,1.2808295111117867,0.23850649886860575
11,1.191090291415466,0.29052248872011643
12,1.1071474856851968,0.3520137653448482
13,1.0662308968735197,0.38686246198904917
14,1.1150447874410798,0.341764656281801
15,1.0441610516493114,0.40805231804440273
16,0.9400508847488873,0.5229568242092242
17,0.8689236783330411,0.6116598173710472
18,0.8306216021465315,0.6641009441061292
19,0.7907940733768183,0.7188393056930519
20,0.7556118937475707,0.7670318277192009
