Lag,F,p
1,4.462410008992122,0.034745209685224904
2,2.644512770387911,0.0712343275452346
3,1.3945282099942156,0.2425731613850804
4,1.1834185506717219,0.316012774514966
5,1.3420068437811965,0.24350777735486942
6,1.1462977217343,0.33266626120790227
7,1.0152186387993878,0.41817449108545873
8,1.2055464496465926,0.29139837415687303
9,1.0961797224554983,0.3619329838580309
10,0.9517240159124777,0.4840775220141815
11,1.033937767038775,0.41296859321619944
12,1.0035792726609123,0.4426250348297147
13,1.070960485493323,0.37989625301311675
14,0.9956521131585969,0.45465581565713453
15,1.016387812637769,0.43433969934781685
16,1.0170959747417274,0.4345409974097688
17,0.9719548543882722,0.4874388203675678
18,0.9262436649886684,0.5458819804544596
19,0.9314217005630362,0.5429199455854101
20,0.9892881991694286,0.4718452301512013
