Lag,F,p
1,0.5018399369099417,0.4787962979372449
2,0.49312995410334176,0.6108051539177161
3,0.8713319522703308,0.45527272170287525
4,1.0336927681400334,0.3884371744562178
5,0.9272571236663084,0.46217118671041935
6,1.5491113505087144,0.15847646403008186
7,1.4914138985999377,0.16589488323182763
8,1.4750891930489962,0.16133636148802272
9,1.3500239780887848,0.20605723765941503
10,1.3356315899350066,0.20561148414514344
11,1.1438977515805755,0.3224570230314153
12,1.518509634819405,0.11049277492930999
13,1.3916954224716627,0.1555845150736184
14,1.4947753816126528,0.10507964263031815
15,1.4401763915276578,0.12034775584144919
16,1.3690674065116555,0.14810913146820795
17,1.3058085297529336,0.17910904388734572
18,1.3087459080853463,0.17208695466878565
19,1.2359009664623943,0.21879762662770788
20,1.1699642385564466,0.2715298215241054
