dates,rate,fluctuation,prices,anger,depression,fatigue,tension,confusion,vigour
2017-02-06 16:30:00,0.4749036781497145,-0.39223391854970696,-1.834051763825924,2.7886074,-1.3435677,-0.17005773,-0.4629556,0.6941165,-0.28688782
2017-02-06 16:30:00,0.3021898970557758,-0.25156282703493127,-1.8470599772350502,-0.49397382,0.19957648,-0.37062472,-0.47364798,2.0340638,-0.31177074
2017-02-06 16:30:00,0.3021898970557758,-0.25156282703493127,-1.8470599772350502,0.35173836,-0.22754525,-0.26590705,-0.4283996,0.23938696,0.8201009
2017-02-06 09:30:00,-0.24953092728919346,0.19858638298876116,-1.8470599772350502,-0.51435673,-1.5516201,4.061943,0.034964647,-0.48983923,-0.22762717
2017-02-06 16:30:00,0.3021898970557758,-0.25156282703493127,-1.8470599772350502,-0.24996427,-0.3779266,-0.17657365,1.0145963,0.21478741,-0.15261894
2017-02-06 16:00:00,0.16363243541048222,-0.13902767099952074,-1.834051763825924,-0.639698,1.1284419,-0.37060338,-0.47362745,-0.49106556,-0.3117701
2017-02-07 09:30:00,0.41125633827009844,-0.3415943862160798,-1.802311691349322,-0.20137204,0.6302022,-0.37062427,-0.31343898,-0.033834558,-0.31166506
2017-02-06 09:30:00,-0.24953092728919346,0.19858638298876116,-1.8470599772350502,-0.3987809,0.86047626,-0.37039277,-0.38612923,-0.2566208,-0.3117699
2017-02-07 16:00:00,-0.2214596494777597,0.1760742002524488,-1.8184417489433047,0.50945044,-0.067152396,-0.37024722,-0.4538523,1.085762,-0.31176022
2017-02-08 09:30:00,-0.06368692625507968,0.046659200105829274,-1.8226044725092256,-0.15689854,0.39400253,-0.36616266,-0.4025041,0.5256133,-0.13166207
2017-02-07 09:30:00,0.41125633827009844,-0.3415943862160798,-1.802311691349322,0.034132924,0.7356911,-0.37054682,-0.47139183,-0.470238,-0.31170136
2017-02-08 16:00:00,-0.0018197269366479008,-0.003980332227797878,-1.8220844297978622,-0.060670182,0.7571416,-0.37057447,-0.47379532,-0.36843506,-0.31176734
2017-02-09 09:30:00,0.20448777498719367,-0.17279594510398932,-1.8059535782455416,-0.5890547,1.0015808,-0.3701319,-0.45887825,-0.22540146,-0.31176975
2017-02-08 09:30:00,-0.06368692625507968,0.046659200105829274,-1.8226044725092256,0.12544246,-0.7425446,0.31434837,0.5179279,0.2759942,0.2681142
2017-02-09 16:00:00,0.6092333731232988,-0.5047690745851174,-1.7591243275560218,-0.5050458,-0.9926234,-0.28566346,0.48142838,-0.3291584,3.045344
2017-02-10 09:30:00,0.3877535351044819,-0.3247145421048708,-1.728945177171848,0.22061642,-0.819492,-0.34075156,1.4982721,0.22073974,-0.22954848
2017-02-10 16:00:00,0.29119804064843385,-0.2459390742918784,-1.7060505945384514,0.45010692,0.46399248,-0.3631709,-0.4504473,-0.41584718,-0.3117457
2017-02-13 16:30:00,0.6865077495659038,-0.5722970369120041,-1.6758714441542777,-0.5997584,-1.2722951,-0.0807208,2.2950962,-0.06389506,0.76836133
2017-02-13 16:30:00,1.2862790321677666,-1.0674534406442204,-1.6300830728458227,-0.5061361,0.88059586,-0.37023872,-0.46899283,0.011810324,-0.31107202
2017-02-13 16:30:00,0.6865077495659038,-0.5722970369120041,-1.6758714441542777,-0.50894946,0.5459488,-0.32284376,0.33379,-0.47798464,-0.31148207
2017-02-13 16:30:00,0.6865077495659038,-0.5722970369120041,-1.6758714441542777,-0.17189907,0.7127384,-0.37058324,-0.47376364,-0.046569776,-0.31168082
2017-02-13 16:30:00,1.2862790321677666,-1.0674534406442204,-1.6300830728458227,-0.3331756,0.15803276,0.17635871,0.33128175,-0.3787327,-0.31142178
2017-02-13 09:30:00,0.38575897584013236,-0.3247145421048708,-1.6758714441542777,-0.6418831,1.129779,-0.37027997,-0.47355118,-0.49198928,-0.31175098
2017-02-13 16:00:00,0.58806958348306,-0.49351298321696124,-1.6300830728458227,-0.30270597,-0.10425672,-0.22920687,0.7459655,-0.057111118,-0.0703833
2017-02-14 09:30:00,-0.1032238363938766,0.08041888832824737,-1.6373676405965998,2.154229,-0.9030669,-0.37056664,-0.47338897,0.81525,-0.31177092
